universe,sample,family,signal_label,horizon,n_events,n_effective,mean_return,median_return,hit_rate,t_stat,p_value,p_fdr
extended,IS,standalone_bbwp,bbwp_highturn_after_downtrend,20,2346,331,0.009296587991422408,-0.0009372366898611206,0.4984894259818731,2.1039217225534608,0.03614157567104874,0.09804342307204446
extended,IS,standalone_bbwp,bbwp_highturn_after_downtrend,30,2346,331,0.01356880194575252,0.007974403305324099,0.5498489425981873,2.328442484187945,0.020492333096375045,0.09804342307204446
extended,IS,standalone_bbwp,bbwp_highturn_after_downtrend,60,2346,331,0.01592962552615786,0.012820856571450046,0.5800604229607251,2.096865405594833,0.036766283652016674,0.09804342307204446
extended,IS,standalone_bbwp,bbwp_highturn_after_uptrend,10,1527,322,0.00032677258707525974,0.001347927735456857,0.5248447204968945,0.138377857698633,0.8900285615329725,0.8900285615329725
extended,IS,standalone_bbwp,bbwp_highturn_after_uptrend,20,1527,322,-0.0017341118246994825,-0.0036788987532314493,0.468944099378882,-0.52242969812929,0.6017315353667959,0.6876931832763382
extended,IS,standalone_bbwp,bbwp_highturn_after_uptrend,30,1527,322,-0.0031739707583191227,0.000265667247264285,0.5093167701863354,-0.8168696068169325,0.41460877480501357,0.6030673088072924
extended,IS,standalone_bbwp,bbwp_highturn_after_uptrend,60,1527,322,-0.014078720827208825,-0.016155262683799902,0.422360248447205,-2.3039107481802854,0.021866030647620275,0.09804342307204446
extended,IS,pmarp_combo,pmarp_up2_base,30,4352,439,0.011316198578506048,0.0020896267356026307,0.5216400911161732,2.3701736768709507,0.01821200177533407,0.09106000887667035
extended,IS,pmarp_combo,pmarp_up2_base,60,4352,439,0.022560591299167158,0.015499774558427803,0.5763097949886105,4.1945916814705955,3.3102937199969584e-05,0.00033102937199969585
extended,IS,pmarp_combo,pmarp_up2_accept_down98_same_day,30,59,35,0.018349713926968388,0.008690516520286407,0.5714285714285714,1.5161226477750787,0.13873153835868468,0.2668220612718858
extended,IS,pmarp_combo,pmarp_up2_accept_down98_same_day,60,59,35,0.02183954623631332,0.004049226696890303,0.5714285714285714,1.2678722666473468,0.21345764901750863,0.2668220612718858
extended,IS,pmarp_combo,pmarp_up2_accept_down98_recent3,30,119,55,0.005458839117755192,0.008240856838575339,0.5272727272727272,0.564460757617673,0.5747778704304386,0.5747778704304386
extended,IS,pmarp_combo,pmarp_up2_accept_down98_recent3,60,119,55,0.017527443726225837,0.019087372595852803,0.6181818181818182,1.3461467576673873,0.18387929654542756,0.2668220612718858
extended,IS,pmarp_combo,pmarp_up2_accept_highturn_same_day,30,273,74,0.01683163052892803,-0.005264837160540839,0.47297297297297297,1.1604601426778522,0.24964257308709015,0.2773806367634335
extended,IS,pmarp_combo,pmarp_up2_accept_highturn_same_day,60,273,74,0.026299721362299144,0.014075423777229704,0.5540540540540541,1.543483201023246,0.12703778314260977,0.2668220612718858
extended,IS,pmarp_combo,pmarp_up2_accept_highturn_recent3,30,337,92,0.016050648572382174,0.004654800157457352,0.5108695652173914,1.307673555175155,0.1942781204197811,0.2668220612718858
extended,IS,pmarp_combo,pmarp_up2_accept_highturn_recent3,60,337,92,0.03157935033123257,0.01606159789046696,0.5652173913043478,2.0562875769131566,0.042618653793864786,0.14206217931288262
extended,OOS,standalone_bbwp,bbwp_down98_after_downtrend,10,901,306,0.0002452362762056377,0.00284515170263247,0.5359477124183006,0.07929293910300718,0.9368516210379277,0.9368516210379277
extended,OOS,standalone_bbwp,bbwp_down98_after_downtrend,20,883,298,-0.001877668795448457,-0.0035986580106096705,0.47315436241610737,-0.3859479192904652,0.6998115546188068,0.7464656582600606
extended,OOS,standalone_bbwp,bbwp_down98_after_downtrend,30,853,288,0.0024784072744125185,-0.0022838248501486896,0.4965277777777778,0.39753059702021076,0.6912717278307383,0.7464656582600606
extended,OOS,standalone_bbwp,bbwp_down98_after_downtrend,60,796,269,0.017530823521609354,0.001045219124943153,0.5018587360594795,1.410444080138144,0.15956820325210888,0.364727321719106
extended,OOS,standalone_bbwp,bbwp_down98_after_uptrend,10,949,368,0.002817166042250145,0.0018347109827573334,0.5190217391304348,0.9345921954989627,0.35061301281387336,0.5980671128121111
extended,OOS,standalone_bbwp,bbwp_down98_after_uptrend,20,943,364,0.0029438832363912126,-0.0027108488135280107,0.4807692307692308,0.6790392341259833,0.49754571501810607,0.6123639569453613
extended,OOS,standalone_bbwp,bbwp_down98_after_uptrend,30,936,360,0.004281127115543173,-0.003736533587445079,0.48055555555555557,0.8115061685663103,0.4176127587294254,0.6074367399700733
extended,OOS,standalone_bbwp,bbwp_down98_after_uptrend,60,861,336,0.024336735916569544,-0.005089593719346558,0.4732142857142857,1.8966333013134082,0.05873638087015981,0.15663034898709283
